Date / Time,City,State,Shape,Duration,Summary,Posted
12/18/15 1:30,Anchorage,AK,Unknown,>30 minutes,At 1:30 am saw 2 crafts flashing red and white.as we kept watching.there was objects in all directions flashing the same.they were stat,12/21/2015
12/19/12 19:00,Homer,AK,Fireball,5 minutes,"Saw reddish orange circles in the sky over the bay in Homer, AK.",12/21/2012
12/19/13 16:00,Anchorage,AK,Circle,~5 minutes,"Two large, bright red, circular objects falling out of the sky over Elmendorf AFB.",12/23/2013
12/19/16 10:30,Anchorage,AK,Circle,160 seconds,4 red silent crafts flying from North to South with no flashing airplane lights. ((anonymous report)),12/21/2016
12/2/09 21:20,Fort Greely,AK,Triangle,10 seconds,Look those coordinates on google earth ;) :0,2/14/2010
12/20/04 20:00,Fairbanks,AK,Unknown,About 15-30 Minutes,A Cluster of Fixed White Lights Hovering Over Fairbanks Alaska is Seen From Wal~Mart.,10/20/2005
12/20/68 2:00,Juneau,AK,Other,15 minutes?,"Earliest encounter, half-moon shaped object shot paralyzing light beam through bedroom window.",8/30/1999
12/20/68 2:00,Juneau,AK,Other,15 minutes?,"Strange half-moon shaped thing shoots light into room, causes paralysis and other effects.",11/2/1999
12/21/95 19:30,Birchwood,AK,Fireball,6-7 minutes,Highly unusual lengthy meteor observation.,12/18/2014
12/22/13 18:00,Soldotna,AK,Light,1 second (each),Orange flashes of light in different areas.,12/23/2013
12/23/13 16:00,Anchorage,AK,Fireball,~10 minutes,"Very large fireball with a fire trail falling over southside of Anch. inlet, 2 jets observed flying towards object.",10/3/2014
12/23/13 21:15,Wasilla,AK,Fireball,10 seconds,Orange fireball looking object moving fluidly across sky over Wasilla moving fast enough to appear propelled. Stopped and then disappea,1/10/2014
12/23/13 22:11,Anchorage,AK,Light,5 minutes,stationary amber/orange colored lights over Anchorage.,1/10/2014
12/23/13 22:22,Anchorage,AK,Circle,10 seconds,"At least 40 round red orbs hovering in formation above the hillside, disappeared quickly.",1/10/2014
12/23/16 18:10,Delta Junction,AK,Fireball,45 seconds,"Seven fireball glowing/pulsating objects were seen moving in erratic, nonlinear fashions over Jack Warren Rd at night. They were in a s",12/30/2016
12/24/11 2:00,Fairbanks,AK,Sphere,1 hour,Bright Orb/Sphere with pulsating blue and red lights hovering with jerky motion. ((NUFORC Note: Sighting of Sirius?? PD)),1/12/2012
12/24/14 17:30,Fairbanks,AK,Triangle,30 minutes,Three distant lights that appears to be aircraft on a collision course. Two lights disappeared leaving one.,1/7/2015
12/24/2002,Two Rivers,AK,Unknown,30 minutes,nothing was seen just a very loud noise for 1/2 hour then a bright light flashed and lit up the sky then silence,3/17/2017
12/25/03 0:00,Anchorage,AK,Sphere,approx 5 min,black sphere with bright orange spotlight appears on x-mas eve in Alaska.,7/25/2004
12/25/05 23:30,Anchorage,AK,Light,5 min,"ufo was traveling above the clouds, over east Anchorage",2/14/2006
12/25/12 16:30,Fairbanks,AK,Oval,2 minutes,2 oval shaped bright reddish with yellow to white leading light fire balls in sky over fairbanks.,2/4/2013
12/25/96 22:00,Seward,AK,Light,30 seconds,it was green hovering,1/17/2004
12/26/09 17:30,Bethel,AK,Disk,90 seconds,Large fireball-like red/orange disc low in the sky and moving slowly right to left. Soundless. Clear night.,2/14/2010
12/26/12 7:40,Fairbanks,AK,Triangle,10,Fairbanks Alaska Ufo Sighting Over Birtch Hill.,2/4/2013
12/26/13 18:21,Anchorage,AK,Unknown,5 minutes,Orange light in sky approaching from southeast. Steady trajectory.,1/10/2014
12/26/14 20:40,Anchorage,AK,Disk,10 seconds,Saucer hovering over military base forest off of Seward Highway in Anchorage.,1/7/2015
12/26/98 12:30,Eagle River,AK,Oval,15 min.,"Girlfriend and I, were driving down a remote road, and we wittnessed a oval shaped craft land on top of a mountain. It was a very clea",9/6/2002
12/28/12 19:30,Eagle River,AK,Oval,instant,"Cloud colored but clearly definable with no lights, girlfriend and I both exclaimed at the same time on the size and speed of the objec",2/4/2013
12/29/08 15:00,Fairbanks,AK,Unknown,seconds,the light was very bright and had a very large vapor trail,1/10/2009
12/29/08 15:10,Tok (30 miles NW of),AK,Other,25 minutes,erratic vapor trail accompanied by an explosion was witnessed by me in my SE sky at around 15:10 AST,1/10/2009
12/30/04 20:00,Anchorage,AK,Light,15 min,"Two hovering lights above Anchorage, Alaska",1/11/2005
12/30/11 4:47,North Pole,AK,Triangle,8 min,"Triangle shaped, orange and yellow light. moving in erratic behavior for about 8 min.",1/12/2012
12/31/00 21:00,Anchorage,AK,Changing,4-6 hours,We could observe red lights dancing across the underside red lights were very bright and very active.,2/18/2001
12/31/06 21:47,Fairbanks,AK,Fireball,4 minutes,We were on the porch the orange object went from east to west across the town sat on the west side for 45 seconds then went into space.,12/20/2012
12/31/10 20:10,Anchorage,AK,Light,5 minutes,Two small orange lights flying over Anchorage,1/5/2011
12/31/10 21:00,Wasilla,AK,Sphere,2 minutes,"Two red/orange lights suddenly appeared over our neighborhood New Years Eve, hovered for a few minutes, then dimmed and were gone.",1/5/2011
12/31/13 1:00,Fairbanks,AK,Light,5-10 minutes,Six orange lights three differnt times from New Years Eve 11 pm to New Years Day 12:30 am.,3/18/2014
12/31/13 20:28,Eagle River,AK,Other,~6 minutes,"Orange lights hovering in v formation, change formation and fade away over the Glenn Hwy.",1/10/2014
12/31/13 23:00,Fairbanks,AK,Light,2 minutes,Orange light floating in night sky.,1/10/2014
12/31/15 19:00,Fairbanks,AK,,6 hours,"This is not a UFO sighting report, but rather a possible explanation of a report you talked about on Coast to Coast last week. In F",1/14/2016
12/31/15 23:55,Fairbanks,AK,Circle,20 minutes,"Eight small circular craft near surface, seen at Fairbanks, Alaska.",1/5/2016
12/31/16 20:30,Wasilla,AK,Circle,Few minutes,Lights in the sky.,1/6/2017
12/31/16 23:45,Wasilla,AK,Oval,3 minutes,"Red glowing object over wasilla skies on new years' eve, 2016",1/6/2017
12/31/16 23:50,Anchorage,AK,Fireball,20 minutes,"Three bright orange orbs, exhibiting odd flight patterns, above Ted Stevens Airport. ((anonymous report))",1/6/2017
12/4/11 21:17,Anchorage,AK,Light,2 seconds,"Point of light appears to fall, maneuvers, vanishes",12/12/2011
12/5/13 17:04,Ketchikan,AK,Light,16 minutes,Light stayed over airport and slowly went left to right. Then it got really bright and dimmed and was gone.,12/12/2013
12/6/14 1:00,North Pole,AK,Triangle,3 minutes,Large triangular shape with lights hovering over the outskirts of North Pole.,12/12/2014
12/7/16 23:30,Anchorage,AK,Flash,30 seconds,Three stationary light pulses over the Chugach range.,12/15/2016
12/7/98 18:00,Anchorage/Girdwood,AK,Light,12 min,"Bright white light moving swiftly over Anchorage & Elmenforf AFB, followed by red flashing lights (helicopters?), also radio call in re",1/28/1999
12/9/13 21:00,North Pole,AK,Flash,3-5 seconds,"Bright orange flashes lasting only a few seconds in North Pole, Alaska.",12/12/2013
2/1/54 2:00,Fairbanks,AK,Unknown,19 MIN.,RADAR INTERCEPT OF UFO BY USAF PILOT IN ALASKA 1954.,1/10/2009
2/1/94 22:16,"Savoonga, St. Lawrence Island",AK,Light,6 minutes,The object was about 200 feet off the ground. There was absolutely no sound. It stayed in one spot in the air without moving.,10/2/1999
2/10/12 18:00,Haines,AK,Diamond,30 minutes and longer,"A bright multi-color flashing object soared across night sky, until it made an abrupt stop, only to roam around in any direction",3/13/2012
2/10/16 16:00,Palmer,AK,Light,,"2 star like lights flashing red green and blue moving in every direction, also their were shooting star like lights that shot upward",2/11/2016
2/10/99 20:40,North Pole,AK,Sphere,20 minites approx.,"At about 2040 AKST North Pole Alaska area toward the NorthEast my wife and I witnessed a bright ""Orange Sphere"" hovering low on horizon",4/2/1999
2/11/11 8:00,Fairbanks,AK,Unknown,20 min,"UFO's sighted Fairbanks/Murphy Dome Feb.11, 2011 8:00am",2/18/2011
2/11/12 19:10,Fairbanks,AK,Light,15 minutes,"We saw 6-7 craft move from SE to NW, with very bright orange/yellow lights and no sound.",3/13/2012
2/12/12 4:30,Metlakatla,AK,Disk,,4 year old son sees and draws flying saucer. ((NUFORC Note: Sincere and credible witness. PD)),3/13/2012
2/12/95 22:30,Gustavus,AK,,5 min.,"Boatload of young fisherman witness very large, orange obj. It returns their light signal, then zips off.",11/2/1999
2/12/99 1:30,North Pole,AK,Fireball,30-45 sec,White/Blue fireball object fell from the sky.,5/24/2005
2/13/03 14:00,Yakutat,AK,Changing,20 minutes,"ALASKA UFO, 2003, YAKUTAT, ALASKA.",4/27/2007
2/13/16 9:38,Palmer,AK,Light,Since i saw it the 10th,The continuation of the UFO activity in Palmer on the tenth at 23:00 night time. One UFO still in the general UFO hotspot with activity,2/19/2016
2/13/76 13:30,Ft. Yukon,AK,Oval,2 minutes,a small airport outside ft yukon remote radar site ( norad ) white oval shape object blasing thru the sky with a blueish gre,5/10/2004
2/15/00 22:15,Fairbanks,AK,Light,2 seconds,"Ball of light, came down then disappeared.",3/6/2015
2/16/16 6:45,Kasilof,AK,Light,10-15 seconds,Unidentified brilliant green/blue light appeared at children's bus stop.,2/19/2016
2/17/17 20:07,Fairbanks,AK,Circle,~8 minutes,"Bright orange, moving east, semi sporadicly, most lined up at one point,... disappearing from sight one by one. Have pictures and video",3/10/2017
2/18/07 20:15,Slana,AK,Light,20 seconds,"02/18/07, 2015AST, a pale green light was observed travelling along the southern slopes of the Alaska Range in eastern central Alaska.",2/24/2007
2/18/16 20:45,Anchorage,AK,Circle,3-5 minutes,"Orange circular craft hovering over House in Anchorage, AK. ((NUFORC Note: Video on NUFORC homepage. PD))",2/19/2016
2/19/14 3:00,Anchorage,AK,Flash,1 minute,Red Flashing UFO Hovering and slowly moving right to left.,2/27/2014
2/20/09 22:00,Fairbanks,AK,Light,3-4 seconds,Bright green light,3/19/2009
2/21/14 0:00,Anchorage,AK,Oval,4 seconds,Luminescent oval shaped craft flies over Kincaid Park.,3/18/2014
2/21/14 23:30,Palmer,AK,Light,5 minutes,Orange/Amber lights over the Hatcher Pass area.,2/27/2014
2/21/99 22:30,Fairbanks (20 miles south of),AK,Triangle,5 min,Saw a dark triangle shapes craft with very large white lights on the rear corners and also on the front all light were on the bottom of,8/5/2001
2/23/00 8:18,Kenai,AK,Cone,30-40 sec,While bringing my children into school we all witness a white object in a cone shape moving across the horizon. My daughter saw it firs,2/23/2000
2/23/13 21:30,Palmer,AK,Light,1 minute,Noticed an orange glowing light in the sky. It was not moving and the sky was very overcast. It disappeared after about a minute.,2/28/2013
2/23/14 19:45,Anchorage,AK,Light,5-10 minutes,2 Unidentified Orange Lights above Anchorage.,2/27/2014
2/26/05 5:40,Ester,AK,Flash,25 mins,lights in the sky,4/16/2005
2/26/17 20:30,Sand Point,AK,Light,21:30,Strange bright light in westerly sky. Only shows up a couple of hours at night then disappears. ((NUFORC Note: Venus. PD)),3/10/2017
2/26/17 22:51,Wasilla,AK,Oval,2-3 minutes,3 low and slow moving pulsating orange/reddish orbs.,3/10/2017
2/27/03 21:10,Anchorage,AK,Light,10 minutes,A strange orange/reddish moving object emitted smaller object and then disappeared over Anchorage Alaska!,3/21/2003
2/3/01 20:15,Wrangell,AK,Light,10 minutes,"Unmoving, blue-white light , faint pulse.",2/18/2001
2/3/76 13:00,Ft. Yukon,AK,Oval,2 MINUTES,"TOOK PICTURE OF FLYING CRAFT AS IT PASSED OVER HEAD, 5 MILES OUTSIDE OF A REMOTE NORAD RADAR SITE FT YUKON, ALASKA HAVE HAD",5/4/2004
2/4/01 8:05,Wrangell,AK,Light,25 minutes,"light, going from very bright to very dim, west of Wrangell island,slight rocking movement. Partly cloudly skies. Flash of red light ne",2/18/2001
2/4/02 2:55,Talkeetna,AK,Light,ongoing,several blue/wht lighted objects traveling at different speeds across sky and then back up to a larger light higher up in the sky,2/22/2002
2/6/02 0:30,Fairbanks,AK,Fireball,5min,turn around for 1 min with gushing out smoke.,2/22/2002
2/6/02 0:35,North Pole,AK,Other,30 seconds,Rocket boosters' over North Pole AK,2/22/2002
2/6/06 12:00,Fairbanks,AK,Sphere,10 seconds,Flying disk,10/30/2006
2/6/08 19:00,Anchorage,AK,Light,unknown,orb with tail captured on camera in Alaska 02.06.08,2/14/2008
2/6/16 19:41,Anchorage,AK,Circle,3 minutes,Circular craft over flying downtown Anchorage at 5th Ave East bound. Red solid light with white light oscillating.,2/11/2016
2/8/16 20:15,Eagle River,AK,Cigar,10 minutes,White light taveling in a circular motion.,2/11/2016
3/1/13 21:00,Palmer,AK,Circle,1 minute,Vertical string of 5 orange lights in the sky.,3/3/2013
3/1/14 0:00,Anchorage,AK,Light,2-3 minutes,9 red dots hovering low in the sky moving very slowly to the west.,3/18/2014
3/11/04 21:30,Fairbanks,AK,Light,20 min,"for 20 min. watched 2 sets of stationary equally spaced large round yellow lights, one string of 4, one of 5, blinked out in order.",4/9/2004
3/11/16 7:00,Dillingham,AK,Triangle,20 minutes,"Low triangle-shaped object in Dillingham, AK.",3/11/2016
3/12/12 21:45,Palmer,AK,Sphere,40 seconds,Brightly lit orange in color orb.,3/16/2012
3/12/14 23:30,Ninilchik,AK,Circle,10 minutes,4 ufo's lights over Cook Inlet.,4/4/2014
3/12/16 3:00,Kotzebue,AK,Light,5 seconds,Bright white light in sky dropped another bright light out of it.,3/18/2016
3/13/15 21:00,Chugiak,AK,Light,5 minutes,2 sets of lights one solid red one oval shape light.,3/20/2015
3/14/16 0:15,Anchorage,AK,Light,5-10 minutes,They were all around in the sky!,3/18/2016
3/14/17 23:30,Anchorage,AK,Other,20 seconds,Trapezoid shaped object rising above trees leaving to the West over Anchorage,3/23/2017
3/14/17 23:30,Anchorage,AK,Diamond,20 seconds,"3 orbs in the shape of a triangle, morphed to a long thin line of light above treeline in Anchorage",3/23/2017
3/15/11 0:03,Hooper Bay,AK,Unknown,3-5 minutes,I observed an aircraft flying above our town at low altitudes at varying speeds and the aircraft did not make any noticible sound.,3/23/2011
3/15/90 20:50,Sitka,AK,Light,2 min.,Bright white light with some blue and possibly red. Traveled left to right in the night sky in an up and down zig zag type movement.,8/30/1999
3/15/98 20:00,North Pole,AK,Sphere,90 sec,"Red orb, blue orb...similar to the Marfa Lights",5/24/2005
3/15/98 20:30,Anchorage,AK,Oval,15 minutes,"Driving home after daughters birthday, noticed light ascending from over top of mountain range. Stopped to watch, for it emitted great",6/18/1998
3/16/13 23:20,Wasilla,AK,Triangle,4-5 minutes,ON 3/16/2013 AT 23:20 SEEN NORTHERN LIGHTS THROUGH WINDOW WHILE GETTING READY FOR BED. WENT OUTSIDE TO ENJOY THE SHOW AND TOLD MY GIRLF,5/15/2013
3/16/13 23:30,Wasilla,AK,Circle,~5 minutes,"Large group of red, round lights seen by several groups of people in Wasilla, AK during high aurora activity.",5/15/2013
3/16/13 5:10,North Pole,AK,Light,1 minute,Two lights in the sky moving opposet each other not making sound,5/15/2013
3/16/15 21:00,Ketchikan,AK,Circle,,"There were 2 glowing orange balls dropping smaller white balls, they blinked then disappeared.",3/20/2015
3/17/17 22:35,Wasilla,AK,Unknown,2-3 minutes,Three red lights in NNW over Talkeetna Mountains moving south for a few minutes eventually fading.,3/23/2017
3/18/15 23:40,Palmer,AK,Other,15 seconds,I seen an object that looked just like a star moving.,3/20/2015
3/2/12 19:30,Anchorage,AK,Light,10-15 minutes,Several red lights with no sound ascending to the sky in Alaska,3/13/2012
3/2/14 1:00,Butte,AK,Light,4 minutes,"Clear skies, 3 amber lights overhead for 4 minutes fading out or shooting away one by one.",4/11/2014
3/2/96 0:30,Mountain Village,AK,,60 min.,"Woman repts. stationary light ""w/ search light going around in circles."" Red, blue, white in middle. (Possible twinkling star?)",11/2/1999
3/20/15 23:00,Wasilla,AK,Light,3-5 minutes,Two orange balls hovering in alignment. Shooting white balls drops from one. Shimmer out of sight.,3/26/2015
3/21/2006,White Mountain,AK,Sphere,30 minutes,Three orbs were bounced towards our little village the first one was at 2:15 am and it was white lite in color about 2 inches in diamet,5/15/2006
3/22/15 22:00,Fairbanks,AK,Light,15 minutes,"Seen 4 stars move across sky through the Big Dipper, last one seemed to flash on and off.",3/26/2015
3/23/15 21:56,Wasilla,AK,Diamond,30 seconds,Diamond shaped craft over Seldon and MountainCrest drives.,3/26/2015
3/23/16 21:00,Fairbanks,AK,Triangle,10 minutes,Three triangle shaped objects would appear and disappear for 15 minutes orangish in color,3/24/2016
3/24/15 7:05,Eagle River,AK,Fireball,a few seconds,"At 7:05, a fireball UFO traveled southwest from Eagle River.",3/26/2015
3/25/14 22:00,Clam Gulch,AK,Sphere,20 minutes,"Lights in sky above Cook Inlet, Alaska.",3/27/2014
3/25/14 22:00,Nikiski,AK,Light,10 minutes,6 orange independently flying lights.,3/27/2014
3/25/15 9:00,Sitka,AK,Disk,5 seconds,My wife was standing at the refrigerator and heard a loud sonar ping like sound from outside. Just then my 4 year old son who was sitt,3/26/2015
3/25/16 17:30,Fairbanks,AK,Sphere,,I took 3 photos of the sky on 3/25/2016 and in my photos I noticed blue object. ((NUFORC Note: Lens flares. PD)),4/1/2016
3/26/11 21:00,Seward,AK,Light,5 mins,"String of 9 bright lights, orange in color seen at mile 5-6 of Seward Highway moving slowly south.",4/3/2011
3/26/16 23:30,Pelican,AK,Sphere,1:30,Multiple objects with multiple colors did respond to our attempt to signal with our lights.,4/1/2016
3/28/14 11:03,Bethel,AK,Triangle,13 minutes,Triangle shaped and bright orange.,4/4/2014
3/28/14 11:17,Wasilla,AK,Changing,~60 minutes,Red and white lights on UFO.,4/4/2014
3/28/14 11:30,Chugiak,AK,Light,1 minute,Lights in sky. Flying objects.,4/4/2014
3/28/78 20:45,Anchorage,AK,Sphere,7 minutes,"BRIGHT WHITE ORB: (Silently Followed 2 Witnesses), Two Sharp Turns, Instant Mach Speed Departure.",8/11/2017
3/28/78 9:00,Anchorage,AK,Circle,10 minutes,It was a total ghost to our radar. ((no contact information provided by source)),6/10/2016
3/28/95 0:36,Cordova,AK,,15 min,"Person reports ""clump of fog"" circles car six times, changing shape each time. Hovered. 2nd ship on ground. Dramatic.",11/2/1999
3/29/03 22:30,Iliamna,AK,Cylinder,30 seconds,it was green and fast and move at the speed of sound.,4/22/2003
3/29/08 11:00,Anchorage,AK,Disk,45 minutes,"it was a definite flying saucer, that made no sound, no lights, rusty colored round",3/31/2008
3/29/08 11:00,Anchorage,AK,Disk,45 minutes,Brown rustic red sideways disc shaped UFO and hovering very slowly through the air with pauses at random.,3/31/2008
3/29/14 20:45,Anchorage,AK,Cigar,15 seconds,I explained away the first time I thought I seen this object but twice weeks apart...I'm certain now,4/4/2014
3/3/12 22:15,Bethel,AK,Light,5-10 minutes,Orange/Reddish Lights,3/13/2012
3/3/13 18:30,Bethel,AK,Circle,2 minutes,Bizarre red light (globes) movements in the sky.,4/12/2013
3/3/14 19:02,Ward Cove,AK,Diamond,22 seconds,"After dark, object at extreme altitude, flashing in response to spotlight, changing course, blacking out-then back on.",3/18/2014
3/3/17 21:38,Fairbanks,AK,Sphere,1-2 minutes,Large glowing sphere makes course change at high altitude .,3/10/2017
3/3/17 8:15,Anchorage,AK,Fireball,10,Object observed to the east of the City of Anchorage.,3/10/2017
3/30/01 22:00,Palmer,AK,Light,20 min,"Orange lights flying over Palmer Ak March 30,2011",4/3/2011
3/31/08 0:00,Eagle River,AK,Light,~20 minutes,Zig-zaging light moves over north horizon of Alaska town.,3/31/2008
3/31/09 23:00,Fairbanks,AK,Light,10 min or so,"UFO's in Fairbanks, Alaska",4/14/2009
3/31/14 2:30,Wasilla,AK,Triangle,15 minutes,Triangle craft silently maneuvering over Wasilla at 230 am,4/11/2014
3/31/97 21:00,Juneau,AK,Light,approx 2hrs,"A friend and I saw a strange low altitudebright object flashing orange and greenrotating colors on Easter night in Juneau,Alaska. When",3/7/1998
3/4/05 20:45,Fairbanks,AK,Light,15 seconds,"""star"" in an unknown to me, constellation started moving out of the ""formation"" and down, then another one went right to left.",5/11/2005
3/4/07 19:45,Eagle River,AK,Circle,,Fast moving blue object over Alaska sky. No trail. It then vanished.,3/8/2007
3/4/15 21:00,Anchorage,AK,Fireball,3-4 minutes,Large fireball growing larger while coming toward us in night sky.,3/13/2015
3/4/17 4:00,Soldotna,AK,Unknown,1-2 minutes,"Bone-rattling sonic boom like noise that did not ""fly by,"" but ascended directly upward, no visible craft seen. ((anonymous report))",3/10/2017
3/4/99 21:00,Fairbanks,AK,Sphere,approximately 2 minutes,Saw hovering objects in eastern night sky over Fairbanks International Airport.,4/2/1999
3/5/17 20:29,Anchorage,AK,Circle,30 minutes,White flashing orb-like object. ((NUFORC Note: Possible sighting of Venus?? PD)),3/10/2017
3/7/11 21:00,Ninilchik,AK,Light,2 hours so far,"two bright spots,very close together. rays of color shooting to all sides,stayed in same spot on horizon",3/10/2011
3/7/15 9:52,Ninilchik,AK,Disk,4 min 42 seconds,We saw one by naked eye and then videotaped it and there were 6 and they were moving up and down and side to side. Then they just disa,3/13/2015
3/8/15 21:00,Fairbanks,AK,Disk,1 hour,"Spotted a bright white light in the sky that was moving around, didn't get closer or farther away .We put some binoculars on it seemed",3/13/2015
3/8/15 21:00,Fairbanks,AK,Disk,1 hour,"Spotted a bright white light in the sky that was moving around, didn't get closer or farther away.",3/13/2015
3/9/02 8:30,Anchorage,AK,Triangle,10 minutes,Low flying triangular craft noticed traveling south along mountain range in Anchorage.,3/21/2003
4/11/14 21:30,Ketchikan,AK,Fireball,2 minutes,"Fireball like object seen above the small island city of Ketchikan, Alaska.",4/18/2014
4/11/2005,Fairbanks,AK,Circle,5 mins,5 objects danceing around in the sky that looked like balls of light. Fairbanks Ak.,4/16/2005
4/12/96 2:00,Nikishi,AK,,,"Household awakened by obj. that streaked overhead. Bright light in front, vapor trail left in sky. Obj. returned, hovered, turns red.",11/2/1999
4/14/14 22:45,Wasilla,AK,Triangle,1 minute,3 red-orange lights on low flying UFO(s) off Parks Hwy in Wasilla in triangle formation.,4/18/2014
4/15/88 7:00,Wasilla,AK,Disk,2or3minutes,the object was large moving just above the treeline it had clear white lights not sure if it made a noise because i was in doors,2/18/2011
4/18/01 1:00,Seward,AK,Triangle,12 hours,"Seward Alaska, April 2001--massive sighting of battleship sized black triangle and other UFO's could not be confirmed.",4/28/2001
4/18/05 0:00,Anchorage,AK,Oval,2 minutes,we spotted an ovular light emmiting craft with telescopes in the night,5/11/2005
4/19/03 0:30,Anchorage,AK,Light,15 seconds,"""Stars"" moving together over Anchorage",4/22/2003
4/19/14 0:04,Kodiak,AK,Sphere,1 minute,Red light over Kodiak.,4/24/2014
4/19/14 22:15,Anchorage,AK,Flash,3-5 minutes,"Brightly flashing high speed spherical object moving at very low altitude across the mountains, moving sporadically at first.",4/24/2014
4/2/00 18:00,Fairbanks,AK,Oval,30 secs,"Rolling oval, tumbling through the sky. Every rotation, half of the object appeared to be extremely shiny and reflecting sun light. No",4/15/2000
4/2/14 11:00,Kenai,AK,Oval,60 seconds,Bright white oval seemed to come out of nowhere and hovered silently towards the mount Redoubt area,4/4/2014
4/2/16 3:55,Wasilla,AK,Circle,5 minutes,At first 2 smaller glowing red/orange balls of light floatin across the sky going up down bouncing around but still moving forward toge,4/15/2016
4/20/83 9:00,Prince William Sound,AK,Other,5 minutes,Seeing the sparks coming three to five feet above the ocean and all around the boat,3/4/2008
4/23/05 18:30,Juneau,AK,Disk,10 - 15 seconds,Saucer-like craft flies northwest,5/11/2005
4/23/2012,Juneau,AK,Light,30 seconds,"Strange lights being seen in Juneau, AK night sky.",5/13/2012
